,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2237,Jimi Hendrix,Star Spangled Banner,5nJ9WqiiVz9Rz6a2xLhHlZ,0.209,0.898,8,-9.236,1,0.177,0.608,0.868,0.428,0.358,109.906,audio_features,spotify:track:5nJ9WqiiVz9Rz6a2xLhHlZ,https://api.spotify.com/v1/tracks/5nJ9WqiiVz9Rz6a2xLhHlZ,https://api.spotify.com/v1/audio-analysis/5nJ9WqiiVz9Rz6a2xLhHlZ,226587,4
2238,Thomas Dolby,She Blinded Me with Science,4RkKf3UBRxF2kn2Vh0ww8l,0.799,0.755,9,-11.538,1,0.0419,0.108,0.169,0.0661,0.975,128.695,audio_features,spotify:track:4RkKf3UBRxF2kn2Vh0ww8l,https://api.spotify.com/v1/tracks/4RkKf3UBRxF2kn2Vh0ww8l,https://api.spotify.com/v1/audio-analysis/4RkKf3UBRxF2kn2Vh0ww8l,221267,4
2239,Charles Mingus,Track C - Group Dancers,5JFk3TqqWnZenBewn7nqCW,0.336,0.466,5,-8.979,0,0.0368,0.249,0.16,0.0758,0.209,116.594,audio_features,spotify:track:5JFk3TqqWnZenBewn7nqCW,https://api.spotify.com/v1/tracks/5JFk3TqqWnZenBewn7nqCW,https://api.spotify.com/v1/audio-analysis/5JFk3TqqWnZenBewn7nqCW,442227,4
2240,Van Halen,Ain't Talkin' 'Bout Love,6fybp4N6eW3bsFAvARxyVe,0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,audio_features,spotify:track:6fybp4N6eW3bsFAvARxyVe,https://api.spotify.com/v1/tracks/6fybp4N6eW3bsFAvARxyVe,https://api.spotify.com/v1/audio-analysis/6fybp4N6eW3bsFAvARxyVe,227800,4
2241,Julee Cruise,Falling,31CYUJj5f9lbQ0Qqm9PzK5,0.192,0.138,5,-17.135,1,0.0315,0.892,0.553,0.114,0.0757,142.187,audio_features,spotify:track:31CYUJj5f9lbQ0Qqm9PzK5,https://api.spotify.com/v1/tracks/31CYUJj5f9lbQ0Qqm9PzK5,https://api.spotify.com/v1/audio-analysis/31CYUJj5f9lbQ0Qqm9PzK5,321853,4
2242,The Kinks,Dead End Street,2Y1fwTTPqg5Pfxr3Q9stMu,0.559,0.785,9,-5.391,0,0.0654,0.61,0.000202,0.133,0.556,124.755,audio_features,spotify:track:2Y1fwTTPqg5Pfxr3Q9stMu,https://api.spotify.com/v1/tracks/2Y1fwTTPqg5Pfxr3Q9stMu,https://api.spotify.com/v1/audio-analysis/2Y1fwTTPqg5Pfxr3Q9stMu,201787,4
2243,Schoolly D,Saturday Night,0Y5SgS6zNdKpfdlLRtYKf2,0.884,0.803,2,-10.181,1,0.115,0.0472,0.000287,0.0653,0.693,99.964,audio_features,spotify:track:0Y5SgS6zNdKpfdlLRtYKf2,https://api.spotify.com/v1/tracks/0Y5SgS6zNdKpfdlLRtYKf2,https://api.spotify.com/v1/audio-analysis/0Y5SgS6zNdKpfdlLRtYKf2,322200,4
2244,Lloyd Price,Personality,7JI1MoBWRQAZFTL5FxrQla,0.604,0.313,5,-13.495,1,0.0375,0.801,0.0,0.342,0.86,129.182,audio_features,spotify:track:7JI1MoBWRQAZFTL5FxrQla,https://api.spotify.com/v1/tracks/7JI1MoBWRQAZFTL5FxrQla,https://api.spotify.com/v1/audio-analysis/7JI1MoBWRQAZFTL5FxrQla,155213,4
2245,Stevie Wonder,Boogie-On Reggae Woman,1xTfQiHbhB2Bj2B9dlAojb,0.876,0.708,1,-11.405,1,0.052,0.205,0.074,0.0671,0.643,106.916,audio_features,spotify:track:1xTfQiHbhB2Bj2B9dlAojb,https://api.spotify.com/v1/tracks/1xTfQiHbhB2Bj2B9dlAojb,https://api.spotify.com/v1/audio-analysis/1xTfQiHbhB2Bj2B9dlAojb,313267,4
2246,Joe South,Don't It Make You Want to Go Home,12Lm52NdvlHFc3Z9XcQqs0,0.438,0.613,0,-7.761,1,0.0321,0.328,0.00208,0.744,0.692,128.018,audio_features,spotify:track:12Lm52NdvlHFc3Z9XcQqs0,https://api.spotify.com/v1/tracks/12Lm52NdvlHFc3Z9XcQqs0,https://api.spotify.com/v1/audio-analysis/12Lm52NdvlHFc3Z9XcQqs0,196000,4
